anime,count,appearances
my girlfriend is shobitch,1,ken
my life as inukai-san’s dog,1,ken
"my sister, my writer",1,ken
my stepmom's daughter is my ex,1,ken
my teen romantic comedy snafu,1,ken
myriad colors phantom world,1,ken
nakaimo - my little sister is among them!,1,ken
natsumushi the animation,1,ken
nekomonogatari black,1,ken
nekopara,1,ken
nerawareta megami tenshi angeltia: mamotta ningen-tachi ni uragirarete,1,ken
netokano,1,ken
netosis,1,ken
nisemonogatari,1,ken
"no game, no life",1,ken
noragami,1,ken
nozoki kanojo,1,ken
oresuki: are you the only one who loves me?,1,ken
oide yo! shiritsu yarimakuri gakuen,1,ken
ona hole class room the animation,1,ken
one room,1,ken
oni chichi,1,ken
oniai,1,ken
"onii-chan, asa made zutto gyutte shite!",1,ken
ore ga kanojo wo okasu wake,1,ken
oreimo,1,ken
osamake: romcom where the childhood friend won't lose,1,ken
osananajimi to doukyuusei,1,ken
otome juurin yuugi: maiden infringement play,1,ken
our dating story: the experienced you and the inexperienced me,1,ken
our last crusade or the rise of a new world,1,ken
our love has always been 10 centimeters apart.,1,ken
overflow,2,"ken, tune"
owarimonogatari,1,ken
oyasumi sex,1,ken
pretty×cation the animation,1,ken
plastic memories,1,ken
plunderer,1,ken
princess connect! re: dive,1,ken
prison school,1,ken
qualidea code,1,ken
rin×sen: hakudaku onna kyoushi to yaroudomo,1,ken
"rin×sen＋ran→sem cross mix: haru urara, uragiri to zetsubou no kisetsu-hen",1,ken
remake our life!,1,ken
reunion,1,ken
ryoujoku famiresu choukyou menu,1,ken
shimoneta: a boring world where the concept of dirty jokes doesn’t exist,1,ken
sk8 the infinity,1,ken
ssss.gridman,1,ken
super hxeros,1,ken
saekano: how to raise a boring girlfriend,1,ken
saga of tanya the evil,1,ken
saimin seishidou,1,ken
saimin☆gakuen,1,ken
saint cecilia & pastor lawrence,1,ken
sakuramiya shimai no netorare kiroku,1,ken
sakusei byoutou the animation,1,ken
sansha mendan: rensa suru chijoku choukyou no gakuen,1,ken
"science fell in love, so i tried to prove it",1,ken
scum's wish,1,ken
seikatsu shidou!!: anime edition,1,ken
seikatsu shuukan,1,ken
seirei gensouki: spirit chronicles,1,ken
seiren,1,ken
seraph of the end,1,ken
seton academy: join the pack!,2,"ken, red"
seven senses of the re'union,1,ken
sex studies,1,ken
shakuen no eris,1,ken
shihai no kyoudan,1,ken
shikimori's not just a cutie,1,ken
shikoyaka naru toki mo hameru toki mo,1,ken
shinmai maou no testament,1,ken
shinobi no ittoki,1,ken
snow white with the red hair,1,ken
"so i'm a spider, so what?",1,ken
"so, i can't play h!",1,ken
sopping wet jk rainy r*peover,1,ken
soshite watashi wa ojisan ni......,1,ken
soshite watashi wa sensei ni......,1,ken
steins;gate,1,ken
strike the blood,1,ken
"studio apartment, good lighting, angel included",1,ken
suppose a kid from the last dungeon boonies moved to a starter town?,1,ken
trinity seven,1,ken
tsf monogatari,1,ken
taboo tattoo,1,ken
takt op. destiny,1,ken
talentless nana,1,ken
tamashii: insert,1,ken
tensai ouji no akaji kokka saisei jutsu: short drama specials,1,ken
tensei shitara slime datta ken: sukuwareru ramiris,1,ken
the angel next door spoils me rotten,1,ken
